,PUF_ID,Age Group,Education (Highest Degree),Race/Ethnicity,Gender,Household Income,Household Size,Federal Poverty Level,Census Region,Census Division,I could handle a major unexpected expense.,I am just getting by financially,I struggle to understand financial information,How would you assess your overall financial knowledge?,I follow-through on financial goals I set for myself.,I set financial goals for what I want to achieve with my money,I consult my budget to see how much money I have left,Stayed within your budget or spending plan,Paid all your bills on time,Paid off credit card balance in full,Putting money into savings is a habit for me,A Retirement Savings Account,A Non-Retirement Savings Account,How much money do you have in savings today?,Which one of the following best describes your housing situation?,About how much do you pay for your home each month?,What do you owe on your home?,Student/Education Loan (for yourself or someone else),Used payday loan or cash advance loan,Used pawn loan or auto title loan,Financial Well-Being Scale score,Financial Skill Scale score
1516,13944,45-54,High school degree/GED,Hispanic,Female,"$50,000 to $59,999",4,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Very well,Always,1 - Very low,2,3,4,5,4,3,4,7,1,4,2,4,-2,0,0,0,41,33
1517,11947,25-34,Less than high school,"White, Non-Hispanic",Female,"Less than $20,000",4,<100% FPL,South,South Atlantic,Somewhat,Somewhat,Rarely,4,3,3,3,3,3,3,4,0,0,1,2,2,-2,0,0,0,39,30
1518,13638,75+,High school degree/GED,"White, Non-Hispanic",Female,"Less than $20,000",1,100%-199% FPL,Midwest,East-North Central,Somewhat,Somewhat,Sometimes,5,4,4,4,5,5,5,5,7,7,6,1,98,-1,0,0,0,47,55
1519,11642,62-69,High school degree/GED,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,South,East-South Central,Very well,Somewhat,Sometimes,4,3,3,3,1,5,5,3,0,0,98,1,99,1,0,0,0,63,61
1520,11948,62-69,Some college/Associate,"White, Non-Hispanic",Female,"Less than $20,000",1,100%-199% FPL,South,East-South Central,Somewhat,Very well,Rarely,5,5,5,5,4,5,5,6,7,1,4,1,99,1,0,0,0,47,49
1521,8990,18-24,High school degree/GED,"Other, Non-Hispanic",Male,"Less than $20,000",3,<100% FPL,South,East-South Central,Somewhat,Somewhat,Sometimes,5,4,4,4,4,4,4,5,0,0,99,2,2,-2,0,0,0,49,42
1522,11119,35-44,Less than high school,"White, Non-Hispanic",Female,"Less than $20,000",2,<100% FPL,West,Pacific,Not at all,Somewhat,Always,1 - Very low,2,2,4,3,4,1,1,7,7,1,2,1,-2,1,0,0,37,30
1523,10596,35-44,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",4,200%+ FPL,West,Pacific,Somewhat,Very little,Often,5,4,4,4,4,5,5,6,1,1,7,1,6,3,0,0,0,59,46
1524,13728,75+,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,West,Pacific,Completely,Not at all,Sometimes,5,4,4,5,5,5,5,6,0,1,5,1,5,3,0,0,0,85,57
1525,10183,35-44,Bachelors degree,Hispanic,Female,"$30,000 to $39,999",3,100%-199% FPL,Northeast,Mid-Atlantic,Somewhat,Somewhat,Rarely,4,3,4,4,3,3,3,4,1,0,4,1,6,2,0,0,0,49,45
1526,13406,35-44,Graduate/professional degree,"Black, Non-Hispanic",Male,"$100,000 to $149,999",3,200%+ FPL,South,South Atlantic,Somewhat,Not at all,Sometimes,5,3,4,5,3,5,3,6,1,0,99,1,5,98,1,0,0,64,55
1527,12316,70-74,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,West,Mountain,Very well,Very little,Rarely,4,4,4,2,4,5,5,1,0,0,5,1,1,1,0,0,0,68,48
1528,10184,35-44,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",4,200%+ FPL,Midwest,East-North Central,Very little,Somewhat,Often,3,3,4,4,5,5,5,5,7,1,6,3,98,-2,0,0,0,34,47
1529,9238,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",4,200%+ FPL,Midwest,West-North Central,Very well,Not at all,Rarely,5,5,5,5,5,5,5,6,1,1,99,1,1,1,0,0,0,68,72
1530,12433,62-69,High school degree/GED,Hispanic,Female,"$50,000 to $59,999",2,200%+ FPL,Midwest,East-North Central,Very well,Not at all,Never,6,4,4,4,5,5,1,5,7,7,99,1,99,99,0,0,0,72,64
1531,9961,75+,Less than high school,"White, Non-Hispanic",Female,"$20,000 to $29,999",2,100%-199% FPL,Midwest,East-North Central,Very well,Very little,Rarely,5,4,4,4,5,5,5,5,0,0,5,1,99,99,0,0,0,62,54
1532,13010,35-44,Less than high school,Hispanic,Female,"$30,000 to $39,999",5+,100%-199% FPL,South,West-South Central,Very little,Somewhat,Sometimes,5,3,2,4,3,4,2,4,0,0,1,1,3,2,0,0,0,57,53
1533,12646,45-54,Graduate/professional degree,Hispanic,Female,"$60,000 to $74,999",1,200%+ FPL,West,Pacific,Very little,Somewhat,Sometimes,4,4,4,5,3,5,3,4,1,1,4,1,7,3,1,0,0,46,38
1534,12938,45-54,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very little,Very little,Rarely,5,3,4,4,4,5,4,6,1,1,5,1,4,1,0,0,0,60,42
1535,13852,18-24,High school degree/GED,"Other, Non-Hispanic",Female,"$100,000 to $149,999",5+,200%+ FPL,South,South Atlantic,Not at all,Very well,Sometimes,2,3,2,2,3,1,2,2,0,0,4,3,1,-2,1,0,0,47,29
1536,8154,35-44,Bachelors degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Rarely,6,5,5,1,5,5,5,6,1,1,7,2,6,-2,0,0,0,69,69
1537,8155,18-24,High school degree/GED,Hispanic,Female,"$40,000 to $49,999",3,200%+ FPL,South,West-South Central,Not at all,Somewhat,Rarely,5,4,5,5,3,1,1,6,0,0,2,3,2,-2,0,0,0,54,55
1538,8360,45-54,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",3,200%+ FPL,Northeast,New England,Not at all,Not at all,Sometimes,4,3,3,3,3,5,3,1,7,0,2,2,5,-2,0,0,0,21,16
1539,12785,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$40,000 to $49,999",2,200%+ FPL,Midwest,East-North Central,Somewhat,Somewhat,Never,7 - Very high,5,4,2,5,5,5,5,0,7,6,1,-1,-1,0,0,0,64,74
1540,14346,62-69,Bachelors degree,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,Midwest,East-North Central,Somewhat,Very well,Sometimes,4,3,3,3,3,4,4,4,1,1,4,1,5,2,0,0,0,50,43
1541,10185,35-44,High school degree/GED,"White, Non-Hispanic",Female,"$20,000 to $29,999",3,100%-199% FPL,Northeast,Mid-Atlantic,Not at all,Not at all,Often,2,1,2,2,1,1,1,1,7,7,1,3,3,-2,0,0,0,30,24
1542,12365,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$60,000 to $74,999",4,200%+ FPL,Northeast,New England,Somewhat,Somewhat,Rarely,5,4,4,3,4,5,5,5,1,7,4,1,3,1,1,0,0,53,44
1543,9962,35-44,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Very little,Rarely,6,5,4,5,4,5,4,6,1,1,99,1,99,99,0,0,0,61,69
1544,14376,25-34,High school degree/GED,Hispanic,Female,"Less than $20,000",5+,<100% FPL,South,West-South Central,Very little,Somewhat,Rarely,4,3,4,5,5,5,5,6,0,0,1,1,99,99,0,0,0,49,48
1545,12715,75+,High school degree/GED,"White, Non-Hispanic",Female,"$20,000 to $29,999",2,100%-199% FPL,Northeast,Mid-Atlantic,Somewhat,Very well,Sometimes,5,3,4,5,4,5,5,4,0,7,4,1,1,1,0,0,0,56,38
1546,12961,75+,High school degree/GED,"White, Non-Hispanic",Female,"Less than $20,000",1,100%-199% FPL,South,East-South Central,Somewhat,Very well,Sometimes,6,5,3,5,5,5,4,5,0,0,5,1,99,99,0,0,0,51,60
1547,8156,55-61,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",2,200%+ FPL,South,West-South Central,Completely,Not at all,Rarely,6,5,5,3,4,5,5,6,1,1,5,1,6,2,0,0,0,74,70
1548,10597,45-54,High school degree/GED,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Never,5,5,4,4,5,5,5,4,7,0,7,1,99,99,0,0,0,79,61
1549,11643,70-74,High school degree/GED,"Black, Non-Hispanic",Female,"$60,000 to $74,999",3,200%+ FPL,Northeast,Mid-Atlantic,Completely,Very well,Often,4,2,4,4,2,4,3,3,7,7,4,3,5,-2,0,0,0,37,41
1550,12833,35-44,Graduate/professional degree,"Black, Non-Hispanic",Female,"$50,000 to $59,999",3,200%+ FPL,South,South Atlantic,Very little,Somewhat,Sometimes,4,3,4,4,4,5,3,3,7,0,3,1,3,1,1,0,0,44,42
1551,14239,25-34,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",4,200%+ FPL,Midwest,East-North Central,Somewhat,Somewhat,Sometimes,4,3,4,4,4,5,4,5,7,0,99,3,99,-2,1,0,0,54,50
1552,10947,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$50,000 to $59,999",4,200%+ FPL,Northeast,New England,Not at all,Somewhat,Rarely,5,3,2,3,4,4,2,2,0,0,1,3,1,-2,0,0,0,53,31
1553,8991,25-34,High school degree/GED,"White, Non-Hispanic",Male,"$20,000 to $29,999",4,<100% FPL,South,South Atlantic,Not at all,Completely,Often,3,3,4,4,3,4,4,4,1,0,1,2,2,-2,0,0,0,24,51
1554,13107,70-74,Some college/Associate,"White, Non-Hispanic",Female,"$30,000 to $39,999",2,200%+ FPL,Midwest,East-North Central,Very little,Somewhat,Sometimes,4,2,2,2,3,4,1,2,0,7,1,1,98,2,1,0,0,52,37
1555,7168,35-44,High school degree/GED,Hispanic,Female,"$60,000 to $74,999",1,200%+ FPL,South,West-South Central,Very little,Completely,Sometimes,6,3,3,3,2,2,2,3,0,0,5,1,5,2,0,0,1,27,57
1556,12567,70-74,Graduate/professional degree,"White, Non-Hispanic",Female,"$50,000 to $59,999",1,200%+ FPL,Northeast,Mid-Atlantic,Very well,Not at all,Sometimes,5,4,4,5,4,5,5,6,0,1,7,1,3,1,0,0,0,89,64
1557,9489,62-69,Less than high school,"Other, Non-Hispanic",Female,"$40,000 to $49,999",2,200%+ FPL,South,South Atlantic,Not at all,Completely,Rarely,5,3,4,5,4,4,2,3,7,7,99,1,99,99,0,0,0,41,40
1558,9490,62-69,Less than high school,"Black, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,South,South Atlantic,Somewhat,Completely,Often,3,5,4,4,3,4,5,4,0,1,4,2,2,-2,0,0,0,53,44
1559,11744,25-34,Some college/Associate,Hispanic,Male,"$20,000 to $29,999",2,100%-199% FPL,South,South Atlantic,Not at all,Somewhat,Often,2,2,3,1,2,3,1,2,7,0,1,2,4,-2,1,0,0,46,34
1560,12101,55-61,Some college/Associate,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,Midwest,East-North Central,Somewhat,Somewhat,Sometimes,4,3,3,4,4,4,4,4,0,0,5,1,1,1,0,0,0,47,45
1561,12568,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,South,South Atlantic,Very well,Very little,Sometimes,5,4,4,3,5,5,5,6,0,0,7,1,1,1,0,0,0,69,51
1562,10186,35-44,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",3,200%+ FPL,West,Mountain,Completely,Very little,Rarely,5,4,2,2,4,5,4,2,7,7,4,1,5,2,0,0,0,59,47
1563,8362,25-34,Some college/Associate,"White, Non-Hispanic",Female,"$20,000 to $29,999",1,100%-199% FPL,Northeast,Mid-Atlantic,Not at all,Completely,Sometimes,1 - Very low,2,2,1,3,1,1,1,7,7,1,2,3,-2,0,0,0,29,20
1564,8992,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,Midwest,West-North Central,Very well,Very little,Rarely,5,4,4,5,5,5,5,5,1,1,7,1,99,99,0,0,0,70,56
1565,10396,55-61,Some college/Associate,"White, Non-Hispanic",Female,"$20,000 to $29,999",2,100%-199% FPL,South,South Atlantic,Somewhat,Very well,Never,6,5,4,5,5,5,3,4,7,7,4,1,3,2,0,0,0,48,75
1566,7418,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Midwest,East-North Central,Very well,Very little,Rarely,5,3,3,4,4,5,4,5,1,1,99,1,7,3,0,0,0,53,50
1567,11854,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$60,000 to $74,999",4,200%+ FPL,West,Mountain,Somewhat,Somewhat,Rarely,5,4,4,4,5,5,5,5,0,0,5,1,5,2,0,0,0,53,56
1568,9734,45-54,Some college/Associate,"White, Non-Hispanic",Female,"$30,000 to $39,999",2,200%+ FPL,Midwest,East-North Central,Not at all,Completely,Sometimes,4,3,4,3,4,4,4,3,0,0,3,1,3,2,0,0,0,37,41
1569,12102,55-61,Some college/Associate,"White, Non-Hispanic",Male,"Less than $20,000",3,<100% FPL,South,West-South Central,Very little,Very well,Often,3,2,2,4,3,5,1,2,7,7,3,3,1,-2,0,0,0,38,35
1570,10790,75+,High school degree/GED,"White, Non-Hispanic",Male,"$75,000 to $99,999",1,200%+ FPL,Midwest,West-North Central,Completely,Not at all,Never,5,5,5,5,5,5,5,1,1,1,6,1,2,2,0,0,0,95,85
1571,8363,45-54,Some college/Associate,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,Midwest,East-North Central,Somewhat,Very little,Rarely,5,4,4,4,5,5,5,5,1,0,5,1,4,2,0,0,0,59,54
1572,12031,25-34,Graduate/professional degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",5+,200%+ FPL,Midwest,East-North Central,Very well,Very well,Rarely,Refused,4,4,3,4,5,1,5,7,7,5,3,1,-2,1,0,0,61,45
1573,12103,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,West,Mountain,Very well,Very little,Sometimes,6,4,5,5,5,5,5,5,7,7,5,1,4,2,0,0,0,60,67
1574,9491,45-54,Some college/Associate,Hispanic,Male,"$30,000 to $39,999",1,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Completely,Sometimes,5,4,3,4,4,5,1,4,1,1,99,2,5,-2,0,0,0,34,51
1575,7876,25-34,Some college/Associate,"White, Non-Hispanic",Male,"$30,000 to $39,999",2,200%+ FPL,Midwest,West-North Central,Very well,Somewhat,Sometimes,5,4,3,3,3,4,3,4,1,1,4,2,3,-2,0,0,0,55,56
1576,11120,62-69,Graduate/professional degree,"White, Non-Hispanic",Male,"$30,000 to $39,999",2,200%+ FPL,South,South Atlantic,Very well,Very little,Rarely,6,4,5,5,5,4,5,6,0,1,7,1,2,1,0,0,0,65,57
1577,8556,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$50,000 to $59,999",1,200%+ FPL,South,South Atlantic,Very well,Not at all,Often,5,4,5,5,5,5,5,6,1,1,7,1,3,1,0,0,0,70,48
1578,13226,25-34,Some college/Associate,Hispanic,Male,"$20,000 to $29,999",2,100%-199% FPL,South,South Atlantic,Somewhat,Somewhat,Sometimes,5,5,4,5,5,5,5,5,0,0,3,2,4,-2,0,0,0,59,46
1579,8772,45-54,Bachelors degree,"Other, Non-Hispanic",Female,"$75,000 to $99,999",2,200%+ FPL,Midwest,West-North Central,Somewhat,Somewhat,Sometimes,4,2,3,4,2,3,4,3,7,7,4,1,5,2,0,0,0,48,42
1580,9239,55-61,Some college/Associate,"White, Non-Hispanic",Female,"$75,000 to $99,999",3,200%+ FPL,Midwest,East-North Central,Very little,Very well,Sometimes,6,3,4,3,2,5,1,4,0,1,4,1,4,2,1,0,0,44,42
1581,10187,45-54,High school degree/GED,"Black, Non-Hispanic",Female,"$20,000 to $29,999",2,100%-199% FPL,South,South Atlantic,Not at all,Very well,Always,1 - Very low,2,4,4,2,3,2,3,0,0,99,2,4,-2,0,0,0,31,38
1582,9240,35-44,Graduate/professional degree,"Other, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,South,South Atlantic,Very well,Very little,Often,6,5,4,4,4,5,5,6,1,1,7,3,7,-2,0,0,0,56,65
1583,11381,75+,Some college/Associate,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Northeast,Mid-Atlantic,Completely,Not at all,Rarely,6,4,4,4,4,5,5,5,1,1,7,1,6,1,0,0,0,81,57
1584,11745,70-74,Graduate/professional degree,"White, Non-Hispanic",Male,"$30,000 to $39,999",3,100%-199% FPL,Northeast,Mid-Atlantic,Very well,Not at all,Always,4,3,3,4,4,5,5,2,-1,7,7,1,5,1,0,0,0,73,36
1585,12569,55-61,Less than high school,Hispanic,Male,"Less than $20,000",4,<100% FPL,South,West-South Central,Somewhat,Completely,Often,1 - Very low,1,2,4,3,4,4,6,0,0,1,1,98,99,0,0,0,31,18
1586,7755,45-54,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",1,200%+ FPL,Northeast,Mid-Atlantic,Very well,Somewhat,Rarely,7 - Very high,5,4,2,5,5,5,6,1,1,7,1,7,2,0,0,0,64,76
1587,10948,35-44,Bachelors degree,"Black, Non-Hispanic",Female,"$150,000 or more",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Not at all,Never,6,5,5,5,5,5,5,6,1,1,6,1,1,1,0,0,0,74,85
1588,9492,35-44,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,South,South Atlantic,Completely,Not at all,Rarely,7 - Very high,4,5,5,4,5,5,6,1,1,7,1,7,3,0,0,0,83,61
1589,10188,75+,Some college/Associate,"White, Non-Hispanic",Female,"$50,000 to $59,999",2,200%+ FPL,South,East-South Central,Somewhat,Not at all,Often,5,4,3,4,5,5,5,5,0,1,6,1,3,2,0,0,0,60,48
1590,13607,35-44,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",3,200%+ FPL,West,Pacific,Somewhat,Not at all,Sometimes,4,4,2,2,5,5,5,6,0,0,7,2,5,-2,0,0,0,73,46
1591,9493,75+,Bachelors degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,South,South Atlantic,Very well,Not at all,Rarely,6,4,5,2,5,5,5,5,7,0,7,1,1,1,0,0,0,79,66
1592,12240,55-61,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,West,Mountain,Somewhat,Somewhat,Never,6,4,5,5,4,5,2,6,7,1,5,1,3,2,0,0,0,47,56
1593,8993,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$40,000 to $49,999",2,200%+ FPL,Midwest,East-North Central,Not at all,Completely,Sometimes,2,2,5,5,1,3,2,3,7,7,2,2,2,-2,0,0,0,37,44
1594,10791,75+,Some college/Associate,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Rarely,6,5,4,3,5,5,5,5,1,1,7,1,1,1,0,0,0,76,49
1595,10792,45-54,High school degree/GED,"White, Non-Hispanic",Female,"$60,000 to $74,999",3,200%+ FPL,West,Pacific,Somewhat,Not at all,Rarely,4,4,3,4,3,5,5,6,7,7,7,1,4,2,0,0,0,59,58
1596,10793,70-74,High school degree/GED,"White, Non-Hispanic",Female,"$50,000 to $59,999",2,200%+ FPL,South,East-South Central,Very well,Not at all,Often,4,5,2,2,4,5,5,6,1,1,7,1,1,1,0,0,0,79,40
1597,8773,45-54,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",4,200%+ FPL,Midwest,East-North Central,Very well,Not at all,Rarely,5,4,4,3,5,5,5,6,1,1,4,1,3,2,1,0,0,74,70
1598,10189,62-69,High school degree/GED,"White, Non-Hispanic",Male,"$30,000 to $39,999",2,200%+ FPL,South,East-South Central,Somewhat,Somewhat,Sometimes,5,4,4,4,4,5,5,4,0,0,7,1,-1,-1,0,0,0,54,47
1599,9494,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",3,200%+ FPL,Northeast,Mid-Atlantic,Very well,Not at all,Sometimes,5,3,2,2,4,5,5,4,1,0,7,1,7,3,0,0,0,70,48
1600,8994,45-54,Bachelors degree,"Black, Non-Hispanic",Female,"$75,000 to $99,999",2,200%+ FPL,West,Pacific,Very well,Very little,Rarely,5,4,5,5,4,5,4,5,1,1,6,1,6,3,0,0,0,58,55
1601,13724,45-54,High school degree/GED,"White, Non-Hispanic",Female,"$20,000 to $29,999",4,<100% FPL,Midwest,East-North Central,Very well,Somewhat,Rarely,4,3,2,4,3,5,2,4,7,7,4,2,2,-2,0,0,0,54,49
1602,12683,70-74,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,Midwest,East-North Central,Somewhat,Very well,Often,5,3,3,3,5,5,5,6,0,0,7,1,1,1,0,0,0,56,45
1603,12479,45-54,High school degree/GED,"White, Non-Hispanic",Female,"$40,000 to $49,999",2,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Very little,Sometimes,3,3,4,4,4,4,2,4,1,1,5,1,1,1,0,0,0,54,42
1604,9963,62-69,Bachelors degree,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Rarely,5,5,5,5,5,5,5,4,7,1,6,1,2,1,0,0,0,80,59
1605,7756,18-24,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",4,200%+ FPL,South,South Atlantic,Somewhat,Somewhat,Sometimes,1 - Very low,3,3,3,3,3,3,3,1,0,6,3,98,-2,0,0,0,47,42
1606,7757,55-61,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",4,200%+ FPL,South,South Atlantic,Very well,Very little,Often,6,4,4,4,4,3,2,6,1,1,7,1,7,3,1,0,0,53,47
1607,10794,25-34,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",3,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Completely,Rarely,4,3,4,4,4,5,4,5,1,7,5,1,6,3,1,0,0,44,56
1608,8774,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",4,200%+ FPL,Midwest,East-North Central,Very well,Very little,Rarely,6,4,4,4,4,5,5,6,1,1,4,1,1,1,0,0,0,59,56
1609,9241,45-54,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,South,South Atlantic,Very little,Somewhat,Sometimes,3,2,2,2,2,5,5,1,0,0,4,1,6,3,0,0,0,29,34
1610,12179,75+,Some college/Associate,"White, Non-Hispanic",Female,"$20,000 to $29,999",2,100%-199% FPL,Northeast,Mid-Atlantic,Not at all,Very well,Rarely,1 - Very low,2,1,2,1,4,1,2,0,0,3,2,3,-2,0,0,0,41,22
1611,7420,45-54,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",3,200%+ FPL,South,South Atlantic,Very well,Very little,Never,6,4,4,1,5,5,5,6,1,1,7,1,5,2,0,0,0,69,59
1612,7421,35-44,High school degree/GED,"White, Non-Hispanic",Male,"Less than $20,000",2,<100% FPL,Midwest,East-North Central,Very little,Very little,Rarely,2,2,3,3,2,2,2,3,0,0,1,2,1,-2,0,0,1,36,31
1613,12434,70-74,High school degree/GED,"White, Non-Hispanic",Male,"Less than $20,000",2,<100% FPL,South,South Atlantic,Somewhat,Somewhat,Sometimes,4,4,4,4,4,4,3,5,0,0,99,1,99,99,0,0,0,52,51
1614,13566,18-24,Some college/Associate,"Black, Non-Hispanic",Female,"Less than $20,000",2,<100% FPL,South,South Atlantic,Somewhat,Somewhat,Rarely,4,4,5,5,3,4,5,5,7,7,98,3,3,-2,1,0,0,65,82
1615,9242,62-69,Some college/Associate,"Black, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,West,Pacific,Completely,Not at all,Rarely,6,5,4,3,5,5,1,6,1,1,6,1,7,3,0,0,0,80,57
1616,14273,75+,Bachelors degree,Hispanic,Male,"$50,000 to $59,999",2,200%+ FPL,South,South Atlantic,Not at all,Very well,Always,2,3,3,4,4,4,5,2,7,7,5,1,98,2,0,0,0,40,30
1617,9495,55-61,High school degree/GED,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,South,West-South Central,Somewhat,Not at all,Rarely,4,3,4,3,5,5,4,4,7,7,6,1,7,3,0,0,0,66,48
1618,9964,45-54,High school degree/GED,"White, Non-Hispanic",Male,"$30,000 to $39,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very little,Somewhat,Rarely,5,3,3,3,4,5,1,4,0,1,3,2,2,-2,0,0,0,47,46
1619,8775,35-44,Graduate/professional degree,"White, Non-Hispanic",Male,"$40,000 to $49,999",3,200%+ FPL,South,East-South Central,Somewhat,Somewhat,Rarely,6,4,4,2,3,5,5,5,0,0,4,1,4,2,1,0,0,45,52
1620,12939,62-69,Bachelors degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Not at all,Rarely,6,4,4,3,5,5,5,6,0,0,7,1,1,1,0,0,0,77,60
1621,10397,35-44,Bachelors degree,Hispanic,Male,"$75,000 to $99,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Very little,Never,6,4,4,4,4,5,3,2,1,0,3,2,3,-2,0,0,0,63,67
1622,12104,62-69,Bachelors degree,"White, Non-Hispanic",Female,"$75,000 to $99,999",2,200%+ FPL,South,South Atlantic,Somewhat,Very little,Rarely,5,4,4,4,4,5,5,6,1,1,7,1,1,99,0,0,0,55,57
1623,10949,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$50,000 to $59,999",2,200%+ FPL,West,Mountain,Very well,Very well,Rarely,5,4,3,3,3,4,5,5,0,1,7,3,1,-2,0,0,0,59,57
1624,11855,35-44,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",4,200%+ FPL,Midwest,East-North Central,Very little,Completely,Sometimes,5,3,4,2,3,5,5,6,1,1,5,1,6,2,0,0,0,48,47
1625,14080,25-34,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,South,South Atlantic,Very well,Very little,Rarely,5,4,4,4,4,5,4,5,1,0,5,2,7,-2,1,0,0,59,44
1626,9496,55-61,Some college/Associate,"White, Non-Hispanic",Male,"$40,000 to $49,999",2,200%+ FPL,South,South Atlantic,Not at all,Completely,Rarely,3,1,2,4,1,3,1,1,1,1,3,1,1,1,0,0,0,34,31
1627,12435,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$40,000 to $49,999",2,200%+ FPL,South,East-South Central,Somewhat,Very well,Rarely,5,3,5,4,5,5,2,4,0,0,5,3,1,-2,0,0,0,67,47
1628,10398,18-24,Some college/Associate,Hispanic,Male,"$20,000 to $29,999",3,100%-199% FPL,West,Pacific,Not at all,Very well,Rarely,5,3,4,5,3,4,2,6,7,0,4,2,5,-2,0,0,0,45,55
1629,10190,35-44,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",1,200%+ FPL,Northeast,New England,Not at all,Completely,Often,5,3,1,1,1,5,1,5,1,7,4,2,4,-2,0,0,0,38,30
1630,11949,62-69,Some college/Associate,Hispanic,Female,"$50,000 to $59,999",2,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Very little,Sometimes,4,4,4,4,4,4,5,6,0,1,99,1,5,2,0,0,0,58,53
1631,12530,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$50,000 to $59,999",2,200%+ FPL,West,Mountain,Completely,Not at all,Sometimes,3,5,1,1,5,5,5,2,7,7,7,1,1,1,0,0,0,95,80
